Lista de indices Diarios da TaxaSelic;20060102;20131025;
Data;Taxa Anual;Fator Diário;Fator Acumulado;
10/10/2007;     11,18;          1,00042065;       1,2585244051069338;
11/10/2007;     11,18;          1,00042065;       1,2590538033979420;
15/10/2007;     11,18;          1,00042065;       1,2595834243803414;
16/10/2007;     11,18;          1,00042065;       1,2601132681478070;
17/10/2007;     11,18;          1,00042065;       1,2606433347940533;
18/10/2007;     11,18;          1,00042065;       1,2611736244128345;
19/10/2007;     11,18;          1,00042065;       1,2617041370979437;
22/10/2007;     11,18;          1,00042065;       1,2622348729432140;
23/10/2007;     11,18;          1,00042065;       1,2627658320425175;
24/10/2007;     11,18;          1,00042065;       1,2632970144897662;
25/10/2007;     11,18;          1,00042065;       1,2638284203789113;
